Job Salary,Job Experience Required,Role Category,Functional Area,Industry,Job Title,Skills List
"300,000",2.5,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Social Media Marketing Manager,"digital marketing, Social Media Marketing, facebook marketing, Social Media Optimization"
"287,500",0.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"communication skills, international bpo, amity, digital marketing, university, school"
"1,150,000",6.0,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Chartered Accountant,"Internal Audit, risk management, internal control, Cost Control, Working Capital Management, Cost Containment, Auditing, risk analysis"
"1,225,000",11.5,Senior Management,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Head,"insurance, angel broking, nism, channel manager, broker, cross selling, zonal business manager, equity, securities, demat, zonal sales manager, zonal head, branch manager, cluster manager, mutual funds, Area Sales Manager"
"375,000",2.0,Channel Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales ,"bd, Sales, business development executive, Business Development, sales executive"
"212,500",3.5,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Lab Technician,"retail, outlet"
"387,500",4.5,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Business Development Manager,"cold calling, negotiation, direct marketing, sales initiatives, technical sales, presentation skills, sap erp, business development, microsoft"
"300,000",3.5,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Counselor,"pgdm, Education Counseling, student counseling"
"775,000",6.5,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Finance,"tds, Income Tax, sales tax, direct tax, taxation, Tribunals"
"225,000",3.0,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Automobile, Auto Anciliary, Auto Components",Associate,"Telecalling, Telesales, outbound sales, BPO, call center, voice process, international call center, call center executive, Calling, customer care, customer service, csr"
"375,000",3.5,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales,"insurance, pharma sales, auto sales, business development, financial services, corporate sales, sales, banking, marketing, fresher, marketing executive, automobile sales, travel industry, marketing manager, sales insurance, fmcg"
"1,000,000",7.5,Retail Sales,"Sales , Retail , Business Development",Insurance,Branch Manager,"sales management, relationship management, channel sales, sales development, agency sales, regional management, retail business, branch management, life insurance"
"550,000",3.0,Treasury,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Back Office Executive,"nse, risk management, back office, contract, pay, trade settlements, equity, Bank Reconciliation, stp, audit compliance, bse"
"1,250,000",6.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead,"c#, windows application, .net, c#.net, c++, SQL Server, microservices"
"1,200,000",7.5,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales,"Real Estate, Bdm, business development manager"
"312,500",3.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic,"Angularjs, Wordpress CMS, Web Technologies, MVC Framework, Web Designing, symfony, Laravel, Wordpress, codeigniter, PHP, CakePHP, MVC, Photoshop, React.Js, Web Development"
"550,000",6.0,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,"Training, Attendance, Administration, Payroll, Human Resource Management, Employee Engagement, HR, Performance Appraisal, Exit Formalities, Recruitment"
"950,000",5.5,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Branch Manager,"Sales, Event Marketing, New Business Development, Cross Selling, Third Party Products, Banking Operations, HNI, Effective Team Management, Events, Casa"
"175,000",0.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"Non Voice Process, Communication Skills"
"500,000",4.5,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing,"brand manager, account manager, client servicing, advertising, account management"
"425,000",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"bpo, voice, international bpo, csr, inbound calls, cce, email process, customer service, customer care, blended process, amex, cvent, Customer Support, voice process, travel process, customer care executive"
"600,000",3.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"synthesis, Java, hibernate, ajax, javascript, spring, react.js, Software Developer, mohali, struts, j2ee, richfaces, ejb, jsf"
"162,500",0.5,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,"Communication Skills, fresher, us recruiter"
"450,000",4.0,Retail Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales Executive,"Software Development, Selling, Social Media, Web Technologies, Client Meeting, Sales Management, New Business"
"375,000",1.5,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Medical Officer,"Biotechnology, Microbiology, Nutrition, Optometry, Biochemistry, Life Sciences, Nursing, Pharmacy, Biomedical"
"262,500",0.5,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales Executive,"business generation, casa, gi, field marketing, Business Development Manager, relationship manager, Business Development Executive, mutual funds, li, banking, relationship executive"
"550,000",7.5,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Project Manager-Production,"process audit, operations management, process compliance, Wood, upholstery, warehouse"
"375,000",6.5,Sales Support,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales Coordinator,"coordinator, sales coordinator, mis, sales accounting, customer service, sales coordinator mis, Management Information System"
"225,000",1.0,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Manager,"recruitment, selection, conducting interviews, hr, sourcing, recruiter, recruitment executive, recruitment consultant, hr consultant, hr recruiter, calling, telecalling, outbound calling, background verification, background screening, us it recruitment"
"137,500",1.5,System Design/Implementation/ERP/CRM,IT Software - Client/Server Programming,"IT-Software, Software Services",Business Analyst,"business development, sales, international bpo, Business Development Executive, sales business development"
"2,625,000",17.5,Channel Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Regional Sales Manager,"regional manager, zbm, cardio diabetic, zonal manager, zonal business manager, cardiovascular, sales, zonal sales manager, sales management, diabetic, zm, zonal head, zsm, regional sales manager, regional head, metabolism, pharma, cardiac"
"300,000",2.0,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,".net, asp.net, mvc, c#, sql server, api, html, css, jQuery, Angularjs, Node.Js, Bootstrap"
"1,600,000",14.0,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale",Area Sales Manager,"marketing, revenue enhancement, area sales management, promotional strategies, area sales manager, distribution network, Area Sales Officer, performance improvement"
"1,100,000",6.5,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer,"Backend, Node.Js, AWS"
"1,400,000",5.5,Programming & Design,IT Software - System Programming,"IT-Software, Software Services",Software Developer,"Javascript, REST, SOAP, HTML5, CSS3, ADOBE CQ, Java, JSP, dhtml, xml, web services, engineering design, Application Designing"
"3,500,000",11.0,Senior Management,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Head,"sql, software product development, web development, front end, web technologies, product engineering, consumer products, application software, Engineering Manager, Manager Engineering"
"500,000",3.0,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"C#, LINQ, Web Technologies, C#.Net, ASP.Net, Entity Framework, SQL Server, .NET Framework"
"3,125,000",18.5,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Head,Service Operations
"325,000",1.5,Corporate Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales,"territory management, sales executive, area sales manager, sales manager, business development manager"
"212,500",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"international bpo, Cce, UK Shift, CSA, voice process, international voice process, international call center, Healthcare, customer care executive"
"387,500",3.0,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"Blended Process, Customer Experience, Customer Complaints, customer service, Inbound Calls, Inbound Process, Outbound, International BPO, International Voice Process, Customer Handling, Customer Centric, Inbound"
"212,500",0.5,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales,"Database Maintenance, Communication Skills, Lead Generation, Mass Mailing, Business Development"
"200,000",0.5,Corporate Sales,"Sales , Retail , Business Development","Oil and Gas, Energy, Power, Infrastructure",Sales Executive,"e - commerce, marketing executive, cold calling, business development executive, business development, sales executive"
"300,000",4.5,Retail Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales Executive,"sales executive, Sales Coordination, Sales Coordinator, marketing coordinator, marketing assistant, Sales Assistant, Marketing Executive, sales officer, marketing officer, Export Documentation, Export Marketing, Export Sales, Export"
"212,500",0.0,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate,"bca, international bpo, software, l1, mca, trainee, fresher, technical support, voice process, service desk, b.e, b.tech, b tech, b e, engineer, helpdesk, customer support, bsc, computer hardware, msc"
